lat,lon,u850,v850,q850,z500,rh850,mslp,t2m,driver,share
6.5,66.5,1.6099926,1.3043084,1.9066818,1.7778878,16.304472,1.4173865,1.4084046,rh850,0.63369685
6.5,66.75,2.8278818,1.8023406,3.2926767,1.9486645,15.644723,1.259699,1.27814,rh850,0.5576621
6.5,67.0,2.0852544,1.6991065,2.7684278,1.6772412,15.291079,1.4535975,1.4900266,rh850,0.5777908
6.5,67.25,2.2372222,1.7924918,2.583169,1.8197441,15.378787,1.0747952,1.280268,rh850,0.5877286
6.5,67.5,1.8058958,2.068871,2.5955245,1.8957827,16.065363,1.0792217,1.3805376,rh850,0.59742093
6.5,67.75,1.9853734,1.455852,2.1483757,1.4895618,16.363602,1.4573344,1.4744309,rh850,0.620432
6.5,68.0,1.182913,1.9229267,1.8068628,1.7984705,16.54077,1.2768644,1.5372759,rh850,0.6345706
6.5,68.25,1.8798268,1.9430474,2.4426184,1.9214286,15.400603,1.2878581,1.2260464,rh850,0.5900291
6.5,68.5,1.6578903,1.7854183,2.9060867,1.9511073,15.256355,1.1383789,1.1588807,rh850,0.59009385
6.5,68.75,1.6842138,2.205612,2.1140654,1.9269699,15.238855,1.6227403,1.3948138,rh850,0.5819185
6.5,69.0,1.3806057,1.8088304,2.849209,1.7124151,15.226444,1.4393636,1.3286202,rh850,0.59142184
6.5,69.25,2.3113651,1.7646652,3.2497413,1.7926435,15.133044,1.5914179,1.3611679,rh850,0.5562792
6.5,69.5,1.7541856,2.4072645,2.892353,1.9097482,14.857967,1.712447,1.2641913,rh850,0.55443996
6.5,69.75,1.9510583,2.5106196,2.72779,2.0000036,14.891033,2.0396786,1.1883379,rh850,0.54528886
6.5,70.0,1.8216721,2.1194255,2.8111148,1.8523697,15.165006,1.829591,1.2610786,rh850,0.56458896
6.5,70.25,1.5089871,3.302443,2.3489969,2.123835,16.319721,2.242579,1.5059826,rh850,0.55599
6.5,70.5,1.8609191,2.4644709,3.1787183,2.0549173,15.487253,2.3183737,1.2064428,rh850,0.54206014
6.5,70.75,1.9969032,2.3407009,3.0709965,2.098778,15.960353,2.1765664,1.1529897,rh850,0.5542311
6.5,71.0,1.781399,2.36018,2.9038022,1.6868147,14.546464,2.2242763,1.0129235,rh850,0.54859483
6.5,71.25,2.1436143,2.778413,3.108341,1.6111991,14.7970705,2.392856,1.2744071,rh850,0.52647555
6.5,71.5,1.9641925,3.8159158,2.5504115,1.7732655,15.765262,2.33488,1.2879114,rh850,0.5345635
6.5,71.75,2.6912766,2.4358048,3.03641,1.8459809,14.310051,2.2776132,1.110811,rh850,0.5164602
6.5,72.0,2.0107825,3.026758,2.6649406,1.7896903,15.536884,2.2963305,1.1419997,rh850,0.5457784
6.5,72.25,2.1507778,3.1374724,2.5352943,2.0699146,14.751443,2.1838632,1.2303262,rh850,0.5257278
6.5,72.5,2.0778718,3.5635502,3.8584867,1.8879298,13.74479,3.0089161,1.1363871,rh850,0.46945903
6.5,72.75,1.9929712,2.0483294,5.9834995,1.9407953,17.17952,3.3690665,1.4266765,rh850,0.5061604
6.5,73.0,2.3125138,2.2611463,6.0691204,2.1036408,15.88935,3.3232,1.8487608,rh850,0.4699916
6.5,73.25,1.90511,2.2965226,6.823212,2.1342902,16.347757,3.088837,3.1567621,rh850,0.45724806
6.5,73.5,2.22396,2.5404298,6.3074656,2.3220341,15.600492,3.021681,5.4518614,rh850,0.41636923
6.5,73.75,3.6895165,3.1067998,6.86119,3.0938008,15.221056,2.920794,4.9849772,rh850,0.38168925
