,Western Ghats,Indo-Gangetic,Northeast India,Arid Rajasthan,Peninsular India
u850,6.0203023,2.078039,3.2219698,1.8503946,4.9763174
v850,5.958835,3.0077288,4.7133493,1.6556957,4.725056
q850,15.837444,30.888727,30.013315,21.965353,12.207808
z500,2.914864,4.3455186,5.339875,3.2578514,2.2140555
rh850,34.517933,21.080935,26.638182,19.770515,18.660355
mslp,4.0453944,8.755483,5.8302665,7.238407,3.1958845
t2m,8.117107,9.717801,11.201771,9.966198,5.365823
lat,10.831079,10.170689,26.29237,6.948636,9.615205
lon,29.350786,15.6339,23.892357,10.979945,18.457573
month_sin,2.1235535,1.8360344,1.9900451,1.1664685,1.4763857
month_cos,4.7376695,3.0615067,4.7979484,2.5661032,2.423235
